id,title,year,genre,overview,emotion_tags,rating,tmdb_id
41,Inception,2010,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through dream-sharing technology is given the inverse task.,surprise,8.8,27205
42,Shutter Island,2010,"Mystery, Thriller",A U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.,surprise,8.2,11324
43,The Prestige,2006,"Drama, Mystery, Sci-Fi",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate illusion.,surprise,8.5,1124
44,The Sixth Sense,1999,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,surprise,8.1,745
45,Gone Girl,2014,"Drama, Mystery, Thriller",With his wife's disappearance a husband must prove his innocence while navigating a media circus.,surprise,8.1,210577
46,Prisoners,2013,"Crime, Drama, Thriller",When his daughter and her friend go missing a desperate father takes matters into his own hands.,surprise,8.1,127585
47,The Others,2001,"Horror, Mystery, Thriller",A woman who lives in a darkened old house with her photosensitive children becomes convinced their home is haunted.,surprise,7.6,2567
48,Memento,2000,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,surprise,8.4,77
49,Now You See Me,2013,"Crime, Mystery, Thriller",An FBI agent and Interpol detective track an illusionist team who pull bank heists during their performances.,surprise,7.2,75656
50,Interstellar,2014,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,surprise,8.6,157336
51,The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",A concierge at a famous European hotel befriends a young employee.,neutral,8.1,120467
52,Her,2013,"Drama, Romance, Sci-Fi",In a near future a lonely writer develops an unlikely relationship with an operating system.,neutral,8.0,152601
53,Lost in Translation,2003,"Drama, Romance",A faded movie star and a neglected young woman form an unlikely bond in Tokyo.,neutral,7.7,153
54,Amélie,2001,"Comedy, Romance",A shy waitress decides to change the lives of those around her for the better.,neutral,8.3,194
55,Garden State,2004,"Comedy, Drama, Romance",A quietly troubled young man returns home for his mother's funeral.,neutral,7.6,13155
56,Moonrise Kingdom,2012,"Comedy, Drama, Romance",A pair of young lovers flee their New England town sparking a frantic search.,neutral,7.8,83666
57,Before Sunrise,1995,"Drama, Romance",A young man and woman meet on a train in Europe and wind up spending one evening together in Vienna.,neutral,8.1,425
58,Midnight in Paris,2011,"Comedy, Fantasy, Romance",While on a trip to Paris with his fiancée a nostalgic screenwriter finds himself transported back to the 1920s.,neutral,7.7,76492
59,The Social Network,2010,"Biography, Drama",The story of the founding of Facebook and the legal battles that followed.,neutral,7.8,37799
60,Paterson,2016,Drama,A bus driver writes poetry in his spare time.,neutral,7.3,387592
61,Requiem for a Dream,2000,Drama,The drug-induced utopias of four people spiral into devastating nightmares.,disgust,8.3,641
62,Black Swan,2010,"Drama, Thriller",A committed dancer struggles to maintain her sanity after winning the lead role in Swan Lake.,disgust,8.0,10137
63,A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",In the future a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment.,disgust,8.3,185
64,Oldboy,2003,"Action, Drama, Mystery",After being kidnapped and imprisoned for fifteen years a man is released to find his captor.,disgust,8.4,670
65,American Psycho,2000,"Crime, Drama, Horror",A wealthy New York City investment banker hides his alternate psychopathic ego.,disgust,7.6,1359
66,Nightcrawler,2014,"Crime, Drama, Thriller",When Louis Bloom a con man desperate for work discovers the world of crime journalism.,disgust,7.8,242582
67,Se7en,1995,"Crime, Drama, Mystery",Two detectives hunt a serial killer who uses the seven deadly sins as his motives.,disgust,8.6,807
68,Zodiac,2007,"Crime, Drama, Mystery",Between 1968 and 1983 a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer.,disgust,7.7,1949
69,Gone Girl,2014,"Drama, Mystery, Thriller",A husband becomes the prime suspect in his wife's mysterious disappearance.,disgust,8.1,210577
70,Prisoners,2013,"Crime, Drama, Mystery",A desperate father takes the investigation into his own hands when police fail to find his missing daughter.,disgust,8.1,127585
