id,title,year,genre,overview,emotion_tags,rating,tmdb_id,poster_url
33,Get Out,2017,"Horror, Mystery, Thriller",A young African American man visits his white girlfriend's parents for the weekend.,fear,7.7,419430,https://image.tmdb.org/t/p/w500/poster419430.jpg
34,The Shining,1980,"Drama, Horror",A family heads to an isolated hotel for the winter where a sinister presence influences the father.,fear,8.4,694,https://image.tmdb.org/t/p/w500/poster694.jpg
35,Hereditary,2018,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.,fear,7.3,493922,https://image.tmdb.org/t/p/w500/poster493922.jpg
36,It,2017,Horror,A group of bullied kids band together when a shape-shifting demon terrorizes their town.,fear,7.3,346364,https://image.tmdb.org/t/p/w500/poster346364.jpg
37,The Exorcist,1973,Horror,When a young girl is possessed by a demon two priests are called to perform an exorcism.,fear,8.1,9552,https://image.tmdb.org/t/p/w500/poster9552.jpg
38,The Ring,2002,"Horror, Mystery",A journalist investigates a mysterious videotape that seems to cause the death of anyone who watches it.,fear,7.1,8051,https://image.tmdb.org/t/p/w500/poster8051.jpg
39,Insidious,2010,"Horror, Mystery, Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,fear,6.8,56292,https://image.tmdb.org/t/p/w500/poster56292.jpg
40,Sinister,2012,"Horror, Mystery, Thriller",A true-crime writer finds a disturbing box of home movies that plunge his family into danger.,fear,6.8,82507,https://image.tmdb.org/t/p/w500/poster82507.jpg
41,Inception,2010,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through dream-sharing technology is given the inverse task.,surprise,8.8,27205,https://image.tmdb.org/t/p/w500/poster27205.jpg
42,Shutter Island,2010,"Mystery, Thriller",A U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.,surprise,8.2,11324,https://image.tmdb.org/t/p/w500/poster11324.jpg
43,The Prestige,2006,"Drama, Mystery, Sci-Fi",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate illusion.,surprise,8.5,1124,https://image.tmdb.org/t/p/w500/poster1124.jpg
44,The Sixth Sense,1999,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,surprise,8.1,745,https://image.tmdb.org/t/p/w500/poster745.jpg
45,Gone Girl,2014,"Drama, Mystery, Thriller",With his wife's disappearance a husband must prove his innocence while navigating a media circus.,surprise,8.1,210577,https://image.tmdb.org/t/p/w500/poster210577.jpg
46,Prisoners,2013,"Crime, Drama, Thriller",When his daughter and her friend go missing a desperate father takes matters into his own hands.,surprise,8.1,127585,https://image.tmdb.org/t/p/w500/poster127585.jpg
47,The Others,2001,"Horror, Mystery, Thriller",A woman who lives in a darkened old house with her photosensitive children becomes convinced their home is haunted.,surprise,7.6,2567,https://image.tmdb.org/t/p/w500/poster2567.jpg
48,Memento,2000,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.,surprise,8.4,77,https://image.tmdb.org/t/p/w500/poster77.jpg
49,Now You See Me,2013,"Crime, Mystery, Thriller",An FBI agent and Interpol detective track an illusionist team who pull bank heists during their performances.,surprise,7.2,75656,https://image.tmdb.org/t/p/w500/poster75656.jpg
50,Interstellar,2014,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,surprise,8.6,157336,https://image.tmdb.org/t/p/w500/poster157336.jpg
51,The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",A concierge at a famous European hotel befriends a young employee.,neutral,8.1,120467,https://image.tmdb.org/t/p/w500/poster120467.jpg
52,Her,2013,"Drama, Romance, Sci-Fi",In a near future a lonely writer develops an unlikely relationship with an operating system.,neutral,8.0,152601,https://image.tmdb.org/t/p/w500/poster152601.jpg
53,Lost in Translation,2003,"Drama, Romance",A faded movie star and a neglected young woman form an unlikely bond in Tokyo.,neutral,7.7,153,https://image.tmdb.org/t/p/w500/poster153.jpg
54,Amélie,2001,"Comedy, Romance",A shy waitress decides to change the lives of those around her for the better.,neutral,8.3,194,https://image.tmdb.org/t/p/w500/poster194.jpg
55,Garden State,2004,"Comedy, Drama, Romance",A quietly troubled young man returns home for his mother's funeral.,neutral,7.6,13155,https://image.tmdb.org/t/p/w500/poster13155.jpg
56,Moonrise Kingdom,2012,"Comedy, Drama, Romance",A pair of young lovers flee their New England town sparking a frantic search.,neutral,7.8,83666,https://image.tmdb.org/t/p/w500/poster83666.jpg
57,Before Sunrise,1995,"Drama, Romance",A young man and woman meet on a train in Europe and wind up spending one evening together in Vienna.,neutral,8.1,425,https://image.tmdb.org/t/p/w500/poster425.jpg
58,Midnight in Paris,2011,"Comedy, Fantasy, Romance",While on a trip to Paris with his fiancée a nostalgic screenwriter finds himself transported back to the 1920s.,neutral,7.7,76492,https://image.tmdb.org/t/p/w500/poster76492.jpg
59,The Social Network,2010,"Biography, Drama",The story of the founding of Facebook and the legal battles that followed.,neutral,7.8,37799,https://image.tmdb.org/t/p/w500/poster37799.jpg
60,Paterson,2016,Drama,A bus driver writes poetry in his spare time.,neutral,7.3,387592,https://image.tmdb.org/t/p/w500/poster387592.jpg
61,Requiem for a Dream,2000,Drama,The drug-induced utopias of four people spiral into devastating nightmares.,disgust,8.3,641,https://image.tmdb.org/t/p/w500/poster641.jpg
62,Black Swan,2010,"Drama, Thriller",A committed dancer struggles to maintain her sanity after winning the lead role in Swan Lake.,disgust,8.0,10137,https://image.tmdb.org/t/p/w500/poster10137.jpg
63,A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",In the future a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment.,disgust,8.3,185,https://image.tmdb.org/t/p/w500/poster185.jpg
64,Oldboy,2003,"Action, Drama, Mystery",After being kidnapped and imprisoned for fifteen years a man is released to find his captor.,disgust,8.4,670,https://image.tmdb.org/t/p/w500/poster670.jpg
65,American Psycho,2000,"Crime, Drama, Horror",A wealthy New York City investment banker hides his alternate psychopathic ego.,disgust,7.6,1359,https://image.tmdb.org/t/p/w500/poster1359.jpg
66,Nightcrawler,2014,"Crime, Drama, Thriller",When Louis Bloom a con man desperate for work discovers the world of crime journalism.,disgust,7.8,242582,https://image.tmdb.org/t/p/w500/poster242582.jpg
67,Se7en,1995,"Crime, Drama, Mystery",Two detectives hunt a serial killer who uses the seven deadly sins as his motives.,disgust,8.6,807,https://image.tmdb.org/t/p/w500/poster807.jpg
68,Zodiac,2007,"Crime, Drama, Mystery",Between 1968 and 1983 a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer.,disgust,7.7,1949,https://image.tmdb.org/t/p/w500/poster1949.jpg
69,Gone Girl,2014,"Drama, Mystery, Thriller",A husband becomes the prime suspect in his wife's mysterious disappearance.,disgust,8.1,210577,https://image.tmdb.org/t/p/w500/poster210577.jpg
70,Prisoners,2013,"Crime, Drama, Mystery",A desperate father takes the investigation into his own hands when police fail to find his missing daughter.,disgust,8.1,127585,https://image.tmdb.org/t/p/w500/poster127585.jpg
